registration,reg_country_prefix,aoc,aircraft_type_raw,aircraft_variant,aircraft_msn,wo_count,first_issue_date,last_issue_date,max_total_hours,max_total_cycles,top_station,distinct_stations,top_ata_chapter
9H-REG00190,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44730,39,2025-02-05,2026-09-12,31485.3,19336,MAD,19,33
9H-REG00172,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44718,36,2025-03-20,2026-08-11,30983.9,19608,CRL,14,33
9H-REG00025,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44734,34,2025-02-03,2026-08-04,30210.9,18619,STN,18,33
9H-REG00093,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44733,34,2025-01-08,2026-09-01,58103.0,33636,DUB,19,33
9H-REG00045,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62326,33,2025-02-08,2026-09-12,17772.7,9237,DUB,14,33
9H-REG00057,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44829,33,2024-12-21,2026-08-27,25588.0,14239,EMA,25,33
9H-REG00163,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,62690,33,2006-02-07,2026-09-06,30957.7,19107,AGP,13,33
EI-REG00055,EI,Ryanair DAC (Ireland),B737-8,737-800,44848,32,2025-01-08,2026-08-25,24698.0,11793,OPO,16,33
9H-REG00066,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44834,32,2024-12-23,2026-07-28,25123.6,13919,VCE,20,33
SP-REG00105,SP,Buzz (Poland),B737-8,737-800,44826,32,2025-01-09,2026-09-08,26912.5,13894,BUD,13,33
9H-REG00029,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44762,30,2025-01-13,2026-09-02,28023.5,17550,STN,17,33
SP-REG00044,SP,Buzz (Poland),B737-8,737-800,44798,30,2025-02-03,2026-07-27,30213.8,13531,KTW,10,33
9H-REG00145,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44804,30,2025-01-20,2026-08-18,28043.9,14368,REG,19,33
9H-REG00061,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44727,29,2024-12-26,2026-08-29,31862.4,19809,MRS,15,33
SP-REG00148,SP,Buzz (Poland),B737-8,737-800,44736,29,2025-03-11,2026-09-11,31625.0,18308,KRK,14,33
9H-REG00250,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44731,29,2024-12-24,2026-08-11,31145.6,19305,STN,17,33
9H-REG00080,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,62332,28,2025-01-27,2026-07-05,17156.5,9225,DUB,14,33
9H-REG00108,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44716,28,2025-03-07,2026-08-24,31130.6,19485,MAD,17,33
9H-REG00286,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44724,28,2025-01-14,2026-08-27,31496.4,19403,STN,13,33
9H-REG00060,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,61580,27,2025-02-06,2026-09-01,31488.2,19606,CRL,13,33
9H-REG00140,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44735,27,2025-01-04,2026-08-16,31049.9,19288,MAD,17,33
EI-REG00153,EI,Ryanair DAC (Ireland),M73-82,737-8200,65888,27,2025-02-24,2026-09-01,17736.3,8087,EDI,13,33
9H-REG00213,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44721,27,2025-01-02,2026-09-08,31174.7,19052,DUB,15,33
9H-REG00214,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44742,27,2025-02-23,2026-08-21,30171.4,18977,DUB,14,33
9H-REG00047,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44717,26,2025-02-20,2026-09-05,31562.3,19687,STN,16,33
9H-REG00058,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44769,26,2025-01-10,2026-09-08,27948.8,17568,RAK,12,33
SP-REG00077,SP,Buzz (Poland),B737-8,737-800,44729,26,2025-01-01,2026-06-20,31511.9,18221,CGN,14,33
9H-REG00088,9H,Malta Air / Lauda Europe (Malta),M73-82,737-8200,65877,26,2025-02-10,2026-09-06,18806.7,9938,STN,13,33
9H-REG00142,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44737,26,2025-01-03,2026-09-06,30890.0,19434,STN,15,33
9H-REG00166,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44813,26,2025-01-30,2026-09-08,26704.5,14814,FCO,18,33
9H-REG00199,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44752,26,2025-05-06,2026-09-13,29595.2,18657,AGP,11,33
SP-REG00216,SP,Buzz (Poland),B737-8,737-800,44841,26,2025-01-02,2026-08-25,25762.5,13414,WMI,8,33
9H-REG00262,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44764,26,2025-02-09,2026-08-26,28562.0,17843,DUB,17,33
G-REG00015,G,Ryanair UK (UK),B737-8,737-800,44690,25,2025-02-16,2026-02-12,37485.2,16711,STN,4,25
9H-REG00035,9H,Malta Air / Lauda Europe (Malta),B737-8,737-800,44713,25,2025-01-08,2026-08-19,31927.7,19564,STN,16,33
