OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy,match_key,match_field,wo_part_number,sdr_year
ASAA2023010441414,2023-01-04,2023-01-05T17:58:35.257-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,K,,,,IN,O,461AS,BOEING,737990ER,36363,32903,10299,,,,,,,,,,,,CONTROL VALVE,632921461,7361,INOPERATIVE,#1 ENGINE,12236,3586,12236,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 ENGINE PRECOOLER CONTROL VALVE INOP. GROUNDED - YES. REPLACED #1 ENG PRECOOLER CONTROL VALVE LEAK/OPS CHECK GOOD REF B737-900 AMM 36-12-02-400-801.,632921461,PartNumber,63292146-1,2023
ASAA2023010441413,2023-01-04,2023-01-05T17:58:35.160-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,K,,,,IN,O,461AS,BOEING,737990ER,36363,32903,10299,,,,,,,,,,,,REGULATOR,1074847,17101,INOPERATIVE,#1 ENGINE,23259,7420,2807,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 ENG HIGH STAGE REGULATOR INOP. GROUNDED - YES. REPLACED #1 ENG HIGH STAGE REGULATOR LEAK/OPS CHECK GOOD REF B737-900 AMM 36-11-07-400-801.,1074847,PartNumber,107484-7,2023
ASAA2023010441412,2023-01-04,2023-01-05T17:58:35.050-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,K,,,,IN,O,461AS,BOEING,737990ER,36363,32903,10299,,,,,,,,,,,,CONTROL VALVE,632921461,7656,INOPERATIVE,#2 ENGINE,11569,3389,11569,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 ENG. PRECOOLER CONTROL VALVE INOP. GROUNDED - YES. REPLACED #2 ENG. PRECOOLER CONTROL VALVE. LEAK/OPS CHECK OK. REF. B737-900 AMM 36-12-02-400-801.,632921461,PartNumber,63292146-1,2023
ASAA2023010441411,2023-01-04,2023-01-05T17:58:34.950-05:00,ASAA,ASAA,A,NM,02,A,3610,O,,,K,,,,IN,O,461AS,BOEING,737990ER,36363,32903,10299,,,,,,,,,,,,REGULATOR,1074847,9907,INOPERATIVE,#2 ENGINE,51719,15453,5129,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2 ENG. HIGH STAGE REGULATOR INOP. GROUNDED - YES. REPLACED #2 ENG. HIGH STAGE REGULATOR. OPS/LEAK CHECK OK. REF. B737-900 AMM 36-11-07-400-801.,1074847,PartNumber,107484-7,2023
ASAA2023010341384,2023-01-03,2023-01-04T18:23:19.770-05:00,ASAA,ASAA,A,NM,02,A,3610,J,,,O,,,,NR,9,453AS,BOEING,737990ER,36354,33832,10653,,,,,,,,,,,,REGULATOR,1074847,9295,INOPERATIVE,NR 1 ENGINE,53187,17117,12823,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#1 ENG HIGH STAGE REGULATOR INOP. GROUNDED - YES. REPLACED #1 ENG HIGH STAGE REGULATOR , OPS LEAK CHECK OK. REF B737-900 AMM 36-11-07-400-801.",1074847,PartNumber,107484-7,2023
AALA202301069220,2023-01-05,2023-01-06T15:32:26.657-05:00,AALA,AALA,A,SW,23,A,2530,B,,,O,,,,NR,O,341RW,BOEING,737823,44464,6212,2320,,,,,,,,,,,,OVEN,820111000001,,SMOKE,FWD GALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: NUMBER 1 OVEN IN FORWARD GALLEY MISSING BACK FAN COVER AND SMOKES EXCESSIVELY WHEN TURNED ON. REPLACED NUMBER 1 OVEN IAW AMM 25-32-03.,820111000001,PartNumber,8201-11-0000-01,2023
AALA202301208187,2023-01-17,2023-01-20T10:28:44.657-05:00,AALA,AALA,A,SW,23,A,2530,B,,,K,,,,CR,O,820AW,AIRBUS,A319132,1397,67495,30848,,,,,,,,,,,,OVEN,820111000001,,ODOR,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: ONE HOUR INTO THE FLIGHT A SLIGHT ACRID SMELL IN FLIGHT DECK AT FL370. MAINTENANCE ISOLATED THE SOURCE OF THE ODOR TO THE FORWARD GALLEY OVENS. REPLACED THE FORWARD GALLEY #1 OVEN (AALA202301201664) AND #2 OVEN (AALA202301208187) PER AMM 25-35-19. A SATISFACTORY OPERATIONAL CHECK WAS ACCOMPLISHED.,820111000001,PartNumber,8201-11-0000-01,2023
AALA202301201664,2023-01-17,2023-01-20T10:28:44.363-05:00,AALA,AALA,A,SW,23,A,2530,B,,,K,,,,CR,O,820AW,AIRBUS,A319132,1397,67495,30848,,,,,,,,,,,,OVEN,820111000001,,ODOR,ZONE 900 - LAV/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: ONE HOUR INTO THE FLIGHT A SLIGHT ACRID SMELL IN FLIGHT DECK AT FL370. MAINTENANCE ISOLATED THE SOURCE OF THE ODOR TO THE FORWARD GALLEY OVENS. REPLACED THE FORWARD GALLEY #1 OVEN (AALA202301201664) AND #2 OVEN (AALA202301208187) PER AMM 25-35-19. A SATISFACTORY OPERATIONAL CHECK WAS ACCOMPLISHED.,820111000001,PartNumber,8201-11-0000-01,2023
ASAA2023010941472,2023-01-09,2023-01-10T18:23:49.643-05:00,ASAA,ASAA,A,NM,02,A,7500,J,,,O,,,,CL,O,413AS,BOEING,737990ER,35205,36479,11495,CFMINT,CFM567B27E,,,,,,,,,,SENSOR,1296663,12721,FAULTED,NR 2 PRECOOLER,48903,18576,9077,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUMBER 2 BLEED TRIP OFF ILLUMINATED AFTER TAKE OFF. FOLLOWED QRH GUIDANCE AND ATTEMPTED A TRIP RESET. BLEED TRIP OFF LIGHT EXTINGUISHED, BUT RE-ILLUMINATED AFTER A FEW SECOND. GROUNDED - YES. REMOVED AND REPLACED PRECOOLER CONTROL VALVE SENSOR & OVER TEMPERATURE SWITCH REF. B737-900 AMM 36-11-08, 36-12-03.",1296663,PartNumber,129666-3,2023
ASAA2023011731535,2023-01-13,2023-01-17T18:00:29.860-05:00,ASAA,ASAA,A,NM,02,A,7220,O,,,K,,,,IN,U,565AS,BOEING,737890,35181,58893,17523,CFMINT,CFM567B27,,,,,,,,,,BLADE,3400010260,DD870147K,DAMAGED,NR 1 ENGINE FAN,19321,15218,19321,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE ACCOMPLISHING ASA TASK CARD SBCFM56-7B-72-1033-1, ENGINE #1, S/N 895978, FOUND FAN BLADES AT POSITION #2 AND #17 FAILED ULTRASONIC (UTI) INSPECTION PER ASA SUPPLEMENT 72-21-02, FOR CONVEX (CV) BLADE ROOTS WITH BLADE #2 INDICATION OF 36% 4.3"" FROM THE LEADING EDGE AND BLADE #17 INDICATION OF 30% 4.7"" FROM THE LEADING EDGE. GROUNDED - YES. REMOVED AND REPLACED FAN BLADES #2 AND #17 PER ASA TASK CARD 78472010 AND FAN BLADE #14 AS OPPOSITE PAIR PER TASK CARD 78472010. RESET THE AVVEM BALANCE TO NOMINAL. ALL LOCATIONS P14. FAN BLADES REMAPPED.",3400010260,PartNumber,340-001-026-0,2023
ASAA2023011541539,2023-01-15,2023-01-17T18:00:30.363-05:00,ASAA,ASAA,A,NM,02,A,7220,O,,,K,,,,IN,V,492AS,BOEING,737990ER,44110,26354,8288,CFMINT,CFM567B27E,,,,,,,,,,BLADE,3400010360,DM122323M,WORN,NR 1 ENGINE,26370,8295,26370,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1 ENGINE #1 FAN BLADE HAS CU-NI-IN COATING DAMAGE PN: 340-001-036-0 S/N DM122323-M WEIGHT: 212890. GROUNDED - YES. ENGINE #1 REPLACED #1 FAN BLADE ALONG WITH #13 FAN BLADE IN PAIR. BLADES REPLACED IN REF B737-900 AMM TASK 72-21-02-000-802-F00. WHILE ACCOMPLISHING TASK FOUND #1 FAN BLADE SHIM WORN. REPLACED WITH NEW PART. #1 AND #13 FAN BLADES RESULTANT IS LOWER THAN 78 G IN. (200 CM. G).,3400010360,PartNumber,340-001-036-0,2023
ASAA2023011741553,2023-01-17,2023-01-18T17:51:13.777-05:00,ASAA,ASAA,A,NM,02,A,7532,O,,,K,,,,IN,9,478AS,BOEING,737990ER,44105,27851,8810,CFMINT,CFM567B27E,,,,,,,,,,BLEED VALVE,1074847,14562,FAULTED,NR 1 ENGINE,31721,10024,13175,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHILE WORKING T/C N8436001 FOUND #1 ENG HIGH STAGE REGULATOR DEFECTIVE FAILED DURING SUBTASK 839-415. REVERSE FLOW TEST. GROUNDED - YES. REMOVED AND REPLACED THE #1 ENG HIGH STAGE REGULATOR REF B737-900 AMM 36-11-07. LEAK CHECK GOOD PER AMM 36-11-07 AND 36-11-00-710-801.,1074847,PartNumber,107484-7,2023
ASAA2023011741554,2023-01-17,2023-01-18T17:51:13.917-05:00,ASAA,ASAA,A,NM,02,A,7532,O,,,K,,,,IN,9,478AS,BOEING,737990ER,44105,27851,8810,CFMINT,CFM567B27E,,,,,,,,,,BLEED VALVE,1074926,17496,FAULTED,NR 1 ENGINE,27851,8810,27851,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE WORKING T/C N84360001, FOUND #1 ENG BLEED AIR REGULATOR DEFECTIVE. FAILED DURING SUBTASK 836-201. OVER PRESSURE SWITCH TEST. GROUNDED - YES. REMOVED AND REPLACED THE #1 ENG BLEED AIR REGULATOR REF B737-900 AMM 36-11-03. LEAK CHECK OF THE #1 ENG BLEED AIR REG PER AMM 36-11-03 AND 36-11-00-710-801 GOOD.",1074926,PartNumber,107492-6,2023
ASAA2023011741555,2023-01-17,2023-01-18T17:51:14.017-05:00,ASAA,ASAA,A,NM,02,A,7220,O,,,K,,,,IN,V,492AS,BOEING,737990ER,44110,26374,8296,CFMINT,CFM567B27E,,,,,,,,,,PLATFORM,3400018160,,DAMAGED,NR 1 ENGIEN FAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG #1 BLADE #24 PLATFORM DAMAGED. GROUNDED - YES. REMOVED AND REPLACED # 24 BLADE PLATFORM ON ENG #1 REF B737-900 AMM 72-21-02-000-801-FOO AND AMM 72-21-02-400-801-FOO.,3400018160,PartNumber,340-001-816-0,2023
ASAA2023011641556,2023-01-16,2023-01-18T17:51:14.127-05:00,ASAA,ASAA,A,NM,02,A,3030,J,,,O,,,,TX,O,563AS,BOEING,737890,35180,58321,17168,,,,,,,,,,,,PITOT HEAD,0851HT1,,FAULTED,VERTICAL STAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L ELEV PITOT CAUTION ILLUMINATED AFTER #2 ENGINE START. GROUNDED - YES. REPLACED L ELEVATOR PITOT TUBE. OPS NORMAL REF B737-800 AMM 27-31-94. SYSTEM LEAK TEST GOOD REF AMM 27-31-17.,0851HT1,PartNumber,0851HT1,2023
ASAA2023011981563,2023-01-18,2023-01-19T18:28:31.520-05:00,ASAA,ASAA,A,NM,02,A,3030,J,,,O,,,,TX,O,949AK,BOEING,7379,43356,870,251,,,,,,,,,,,,HEATER,0851HT1,,INOPERATIVE,RT PITOT PROBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFTER ENGINE START, CAPT PITOT LIGHT ILLUMINATED AND REMAINED ON. GROUNDED - YES. REPLACED CAPT'S PITOT TUBE REF B737-9 AMM 34-11-06, OPS CHECK GOOD, LEAK CHECK GOOD REF AMM 34-11-02.",0851HT1,PartNumber,0851HT1,2023
ASAA2023012081571,2023-01-18,2023-01-20T19:21:42.013-05:00,ASAA,ASAA,A,NM,02,A,3610,J,,,K,,,,CL,V,409AS,BOEING,737990ER,41733,35992,11486,,,,,,,,,,,,REGULATOR,1074847,10534,LEAKING,NR 1 ENGINE,49795,14999,1763,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING CLIMBOUT, RIGHT DUCT PRESS WAS SPIKING 10 TO 15 PSI ABOVE LEFT DUCT PRESSURE. DURING DESCENT, LEFT DUCT PRESSURE 10 PSI, RIGHT DUCT PRESSURE 30 PSI. GROUNDED - YES. REMOVED AND REPLACED HSR VALVE PER B737-900 AMM 36-11-07-000-801 & 36-11-07400-801. ACCOMPLISHED ENG BLEED AIR CROSSOVER OPERATIONAL TEST REF AMM 36-11-00-710-801 DUCT PRESSURES WITHIN LIMITS.",1074847,PartNumber,107484-7,2023
ASAA2023012041602,2023-01-20,2023-01-23T18:57:23.103-05:00,ASAA,ASAA,A,NM,02,A,7532,J,,,A,,,,CR,V,253AK,BOEING,737990ER,36348,23131,7638,CFMINT,CFM567B27E,,,,,,,,,,BLEED VALVE,1074926,16292,FAILED,#2 ENGINE,15708,1668,15708,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 MIN INTO FLIGHT AT 340 FELT AND HEARD PRESSURIZATION ""PULSING"". OBSERVED DUCT PRESS ON RIGHT DUCT PULSE BETWEEN 8 AND 25 PSI SPLIT FROM LEFT SIDE. CABIN VS WOULD RANGE +/- 500 FPM CONTINUE FOR ENTIRE FLIGHT 2+ HOURS. AT LOWER ALTITUDE SPLIT IN DUCT PRESSURE INCREASE TO 35. GROUNDED - YES. DIVERSION -- REPLACED BLEED AIR REGULATOR IN REF TO B737-900 AMM 36-11-03. COMPLETED ASA T/C NG-36WC-00001 PERFORMED ENGINE BLEED AIR CROSSOVER OPERATION TEST OPS CHECK GOOD IN REF TO AMM 36-11-00.",1074926,PartNumber,107492-6,2023
ASAA2023012541665,2023-01-25,2023-01-26T19:34:50.317-05:00,ASAA,ASAA,A,NM,02,A,7220,O,,,K,,,,IN,V,461AS,BOEING,737990ER,36363,33140,10372,CFMINT,CFM567B27E,,,,,,,,,,BLADE,3400010360,DM091600,WORN,NR 2 ENG FAN,30814,10833,30814,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PER ASA T/C 78472010, #2 ENG FAN BLADELUBE, FAN BLADE #6 CUNI-IN COATING MISSING BEYOND LIMIT CC SIDE. GROUNDED - YES. REPLACED #6 ABD #18 FAN BLADES AS A PAIR REF ASA TASK CARD 78472010. COMPLETED VIBRATION SURVEY PER ASA T/C 7847210.",3400010360,PartNumber,340-001-036-0,2023
