wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
190770563,33-00,B737-8,FWD,285W0024-1B,D21333,285W0024-1B,D23775,3954578,ARC155645
190169453,23-51,B737-8,F/O,5145-1-82,11309,5145-1-88,26608,3916903,PAV10964
55636677,38-11,B737-8,AFT LH,SC4L500301-5,11304615-002,SC4L500301-5,172159923-003,3745951,552679
190153999,25-00,B737-8,FWD,8201-11-0000,07-08-24029,8201-11-0000,03-03-18858,3917276,KAV0625029
55628649,25-31,B737-8,7050MM4,72184025,N10030468044666,72184025,N09030621044488,3911977,WAV591
190629612,33-00,B737-8,CAB,9651-35-0002,30434,9651-35-0002,30156,3975221,20113353
55317632,25-35,M73-82,GALLEY G1,62197-301-001,23-04-0113,62197-301-001,14-09-7016,3843268,SAV559
190436207,33-00,M73-82,CABIN,9651-35-0002,61164,9651-35-0002,55424,4189979,ARC75487
190631229,33-21,B737-8,31 DEF,9651-35-0005,27558,9651-35-0005,28198,3806560,ARC140805
190879007,25-35,B737-8,AFTLH,72184025,4369,72184025,4206,4084278,WAV1225
191469459,33-00,B737-8,29DEF,9651-35-0005,36969,9651-35-0005,70634,4051633,20159778
191483696,25-00,B737-8,GALLEY 4,72184025,4441,72184025,N10100884044726,4128839,KAV0426082
42261763,25-00,B737-8,GALLEY G1,72184025,4244,72184025,N10020398044648,3964532,PAV11637
980008835,72-21,B737-8,#1,340-001-036-0,DM129511,340-001-038-0,DM185858,4135075,
190364308,33-21,M73-82,32 R/H,9651-35-0005,64771,9651-35-0005,50407,4121391,20167768-1
191069831,25-00,B737-8,AFT,72184025,3038,72184025,N12061894044872,4139389,SAV907-UKCAA
55600992,25-00,B737-8,AFTGALLY,62197-301-001,16-01-0176,62197-301-001,19-07-0268,3838991,WAV380
191457192,38-32,B737-8,LAV D,14330-230,091121,14330-230,ZSK703,4206722,90061
190249221,25-33,B737-8,AFT,62197-301-001,17-06-0375,72184025,4288,3618249,1112607
190010606,25-00,B737-8,AFT,8201-11-0000-01,17-12-39598,8201-11-0000,07-02-23328,3975904,PAV11740
190649596,25-00,B737-8,AFT GALLEY,62197-301-001,22-02-0458,72184025,4338,3747212,KAV1124025
55100617,25-00,B737-8,AFT,72184025,N10120160044759,72184025,4025,3917351,KAV0725003
55594491,26-16,B737-8,AFT,473597-5,SJA6529,473597-5,SJB1031,3790015,R548654-61478
41529130,33-42,B737-8,RH,45-0351-4,6556,45-0351-4,6212,3770915,1253616
190886184,25-00,B737-8,FWD,62197-301-001,16-08-0255,62197-301-001,18-01-0438,4199254,WAV1553
190504678,34-11,M73-82,LH STAB,0851HT1,428424,0851HT2,465288,3780233,407470783
191430084,25-00,B737-8,FWD,SC4L500301-5,172972826-007,SC4L500301-5,173574861-005,4074727,E-5869450
190537328,36-00,B737-8,#1,107484-7,11698,107484-7,8845,4011260,354827501
190537328,36-00,B737-8,#1,3214552-6,17867,3214552-5,8545,3981681,354092914
42062391,23-00,B737-8,CAPT,5145-1-82,16137,5145-1-88,29125,3822613,PAV9983
55531794,33-00,B737-8,25 DEF,9651-35-0004,12173,9651-35-0004,12252,3806593,ARC140910
55189331,05-00,B737-8,#4,8201-11-0000,07-08-24030,8201-11-0000-01,22-03-0164,4117116,PAV13712
55189331,05-00,B737-8,#3,8201-11-0000-01,18-06-0144,8201-11-0000,07-12-24537,4117113,PAV13708
190149684,25-00,B737-8,GALLEY G4,62197-301-001,21-11-0719,62197-301-001,21-11-0709,3851809,552606209
55585635,26-16,B737-8,AFT,473597-5,SJA4552,473597-5,SJA6910,3882706,R550533-62962
55251195,36-00,B737-8,#2,107484-7,18564,107484-7,17233,3793053,352033285
190275604,73-00,M73-82,#2,2085M31G03,PAT7H091,2085M31G03,PSDNF451,4019619,RG97728-1
190275604,73-00,M73-82,#2,2085M31G03,PAT7H119,2085M31G03,PAT15R41,4025502,RG82435-1
190275604,73-00,M73-82,#2,2085M31G03,PAT6H342,2085M31G03,PAT3H264,4019621,RG97493-1
55290700,33-21,M73-82,16 ABC,9651-35-0005,69378,9651-35-0005,33682,3949627,ARC155152
55713091,25-00,B737-8,AFTGALLY,62197-301-001,15-10-8018,,,9519968,
55476028,33-21,M73-82,PAX,9651-35-0002,71302,9651-35-0002,17709,3880268,148188
190888731,23-51,B737-8,FL DK,5145-1-82,23765,5145-1-88,29072,4091738,PAV13410
55655134,33-00,B737-8,30 R/H,9651-35-0005,33026,9651-35-0005,58717,3979810,20120929
55655134,33-00,B737-8,10ABC,9651-35-0004,7845,9651-35-0004,8575,3949632,ARC154591
55323716,25-00,M73-82,G1,8201-11-0000,03-09-19332,8201-11-0000,07-10-24303,3717797,1209849
190722587,33-00,B737-8,LH,72605363-1,5846,72605363-1,5741,3944243,354077410
55432640,25-32,M73-82,GALLEY G4,62197-301-001,16-01-0171,62197-301-001,18-07-0593,4090650,WAV1253
55569854,33-20,B737-8,25 DEF,9651-35-0004,12252,9651-35-0004,6775,3855253,145165
55300709,33-00,M73-82,CABIN,9651-35-0005,67320,9651-35-0005,59752,3791756,20086377
191360620,36-00,B737-8,#1,107484-7,16730,107484-7,18102,4026321,354982410
191360620,36-00,B737-8,#1,3214446-4,17339,3214446-4,8916,4076225,355200535
55376529,33-00,M73-82,CABIN,9651-35-0002,72736,9651-35-0002,70009,3872481,865-4.000
190610231,33-00,B737-8,18DEF,9651-35-0002,33916,9651-35-0002,68541,4072609,20169015
190493271,33-21,M73-82,#16,9651-35-0005,32579,9651-35-0005,17577,3841936,ARC143877
55027582,23-00,B737-8,FL DK,5145-1-82,16114,5145-1-82,16044,3810220,1287269
191129812,25-00,M73-82,GALLEY G4,8201-11-0000,07-08-24016,8201-11-0000-01,10-02-28225,4021573,KAV1125038
191120221,23-00,M73-82,FWD,285W0024-1B,D21432,285W0024-1B,D16816,4213607,177520
55563132,33-21,B737-8,11 DEF,9651-35-0004,11893,9651-35-0004,6818,3453749,106103
55563132,33-21,B737-8,2 DEF,9651-35-0004,11894,9651-35-0004,6486,3604795,121950
190522222,25-00,B737-8,AFT,62197-301-001,21-02-0305,62197-301-001,18-01-1113,3860880,SAV568
55660468,25-31,B737-8,FWD,62197-301-001,22-10-0365,72184025,N10100895044737,3925446,PAV11092
191304992,33-00,B737-8,22DEF,9651-35-0002,24692,9651-35-0002,69176,4066563,20164781
55622918,23-42,B737-8,FWD CAB,285W0024-1B,F36779,285W0024-1M,F50725,4005597,160890
980010302,25-00,M73-82,GALLEY G4,8201-11-0000-01,21-11-0977,8201-11-0000,07-10-24282,4151574,PAV14154
40629185,23-51,B737-8,FL DK,5145-1-82,13741,5145-1-82,7469,3990244,PAV11928
191325958,72-21,B737-8,#2,340-001-038-0,DM128022,340-001-038-0,DC008429,4223866,R26073112001
191325958,72-21,B737-8,#2,340-001-038-0,DC976448,340-001-036-0,PF591006,4217358,925-26-28717/1
191061842,23-51,B737-8,FL DK,5145-1-82,18195,5145-1-88,27364,4170809,PAV14306
190547817,33-21,B737-8,27DEF,9651-35-0005,32553,9651-35-0005,59127,4008374,20136403-1.000EASA
190007191,25-33,B737-8,GALLEY 4,62197-301-001,17-01-0356,62197-301-001,15-12-0147,3806029,1283424
191390037,23-12,B737-8,F/O,5145-1-82,24437,5145-1-82,13852,4115776,PAV13673
